Move_Component_New_Node,Move_Operation_Component,Move_Operation_New_Component_New_Node,UMLCloneNode,size,perfQVar,perfQMean,#changes,relMean
0,0,3,1,61,0.00253,-0.078,6.67,-0.708
1,1,1,1,75,0.00105,-0.047,6.33,-0.713
0,0,2,2,17,0.00019,-0.05,6.07,-0.799
0,1,1,2,91,0.00464,-0.087,5.63,-0.676
0,0,1,3,22,0.00099,-0.048,6.0,-0.733
1,0,2,1,71,0.00251,-0.063,8.39,-0.774
0,1,2,1,61,0.00063,-0.057,6.02,-0.69
1,1,0,2,17,0.00234,-0.023,4.7,-0.591
1,1,2,0,10,0.00012,-0.054,6.31,-0.714
1,0,1,2,50,0.00283,-0.057,8.69,-0.713
0,1,3,0,16,0.00077,-0.055,6.63,-0.662
0,2,0,2,1,,-0.054,4.26,-0.789
0,1,0,3,32,0.00244,-0.02,4.04,-0.639
1,0,3,0,36,0.00032,-0.063,9.64,-0.76
0,0,0,4,16,8e-05,-0.055,4.84,-0.658
